id,text,neg,neu,pos,compound
1049,the most popular of them are bnb chain polygon avalanche fantom arbitrium gnosis chain optimism or cronos.,-0.0,0.695,0.305,0.7645
1049,the most popular of them are bnb chain polygon avalanche fantom arbitrium gnosis chain optimism or cronos.,-0.0,0.695,0.305,0.7645
1108,this brutal crypto winter has already claimed billiondollar companies as victims — but it s also making life much tougher for fans who mine bitcoin from their spare room or garage.,-0.13,0.806,0.064,-0.2846
1108,these hobbyists who would typically use gpu rigs to pull in hundreds of dollars worth of cryptocurrency a month have seen their profits plummet and their costs surge in a hellish 2022 chris vega and michael carter who between them have two decades of experience mining bitcoin and advising others told insider how the us community is coping.,-0.068,0.855,0.077,-0.1027
1108,bitcoin has plunged more than 70 from its november alltime high while prices for electricity — a big input cost for powerhungry mining — are soaring worldwide due to the energy crisis.,-0.123,0.813,0.063,-0.4588
1108,individual miners ca nt hope to control the price of bitcoin.,-0.0,0.775,0.225,0.4404
1108,when there s a bear market you tend to see a lot of migration by bitcoin miners.,-0.0,1.0,0.0,0.0
1108,sellers tend to be newcomers that entered the space when bitcoin was at its alltime high and bought a lot of hardware at ridiculously high prices.,-0.091,0.909,0.0,-0.34
1108,read more how to mine cryptos including bitcoin and ether your complete guide to the technical setups profits and risks involved.,-0.088,0.792,0.121,0.2023
1077,here ’ s what ’ s happening prices bitcoin btc slides for a third day once again threatening to fall below the crucial 20k mark.,-0.152,0.848,0.0,-0.5267
1077,bitcoin btc 20824 35 ether eth 1165 42 the week ahead us inflation report due economists assess impact of abe assassination crypto markets weakened over the weekend with bitcoin sliding for a third straight day and falling back toward 20000 as of press time on sunday.,-0.154,0.809,0.037,-0.7096
1077,more strong bidding around the 17k level if bitcoin falls there again will be a strong signal for the bulls and may indicate the formation of a potential bottom around that price.,-0.0,0.796,0.204,0.8012
1077,musk scraps deal to buy twitter prompting board to threaten suit the billionaire said he believes the number of false and spam accounts counted in the social media platform s monetizable daily active users is wildly above 5. bitcoin will make a comeback rockefeller international chairman says “ we need the excesses to get weeded out ” ruchir sharma told coindesk tv.,-0.081,0.856,0.063,-0.2732
1077,other voices beware the crypto narratives axios mr gensler purports to be concerned that bitcoin trading could be vulnerable to market manipulation which could harm investors in spot bitcoin exchangetraded products.,-0.213,0.787,0.0,-0.765
1077,yet the 390 billion bitcoin market is the deepest and most mature of all cryptocurrencies.,-0.0,0.819,0.181,0.4754
1077,friday july 8 s p 500 3899 08 djia 31338 01 nasdaq 11365 01 gold 1741 13 ashley alder s mixed crypto legacy in hong kong by sam reynolds the uk s financial conduct authority fca the nation s financial watchdog announced friday that ashley alder the ceo of hong kong ’ s securities and futures commission will assume the post of chair in january 2023 while adler has a long list of accomplishments regulating hong kong ’ s traditional finance securities market his curriculum vitae isn ’ t as stellar when dealing with crypto.,-0.0,0.933,0.067,0.5719
